"field","exp","plot","year","disk","disk.trt","ntrt","nadd","trt","other.add","dur","origin","mass.above"
"A",1,18,1994,0,"Intact",8,27.2,"2. NPK+",1,13,NA,1.067
"A",1,18,1995,0,"Intact",8,27.2,"2. NPK+",1,14,"INTRODUCED",274.57
"A",1,18,1995,0,"Intact",8,27.2,"2. NPK+",1,14,NA,42.07
"A",1,18,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"INTRODUCED",288.8
"A",1,18,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"NATIVE",0.287
"A",1,18,1996,0,"Intact",8,27.2,"2. NPK+",1,15,NA,0.733
"A",1,18,1997,0,"Intact",8,27.2,"2. NPK+",1,16,"INTRODUCED",4.367
"A",1,18,1998,0,"Intact",8,27.2,"2. NPK+",1,17,"INTRODUCED",265.837
"A",1,18,1998,0,"Intact",8,27.2,"2. NPK+",1,17,"NATIVE",0.033
"A",1,18,1999,0,"Intact",8,27.2,"2. NPK+",1,18,"INTRODUCED",635.5
"A",1,18,1999,0,"Intact",8,27.2,"2. NPK+",1,18,"NATIVE",80.9
"A",1,18,1999,0,"Intact",8,27.2,"2. NPK+",1,18,NA,1
"A",1,18,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"INTRODUCED",194.924
"A",1,18,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"NATIVE",11.06
"A",1,18,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"INTRODUCED",224.263
"A",1,18,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"NATIVE",4.747
"A",1,18,2001,0,"Intact",8,27.2,"2. NPK+",1,20,NA,0.137
"A",1,18,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"INTRODUCED",223.037
"A",1,18,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"NATIVE",12.733
"A",1,18,2002,0,"Intact",8,27.2,"2. NPK+",1,21,NA,6.433
"A",1,18,2003,0,"Intact",8,27.2,"2. NPK+",1,22,"INTRODUCED",91.467
"A",1,18,2003,0,"Intact",8,27.2,"2. NPK+",1,22,"NATIVE",9.667
"A",1,18,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"INTRODUCED",197.4334
"A",1,18,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"NATIVE",43.9004
"A",1,20,1982,0,"Intact",9,0,"1. Control",0,1,"INTRODUCED",68.427
"A",1,20,1982,0,"Intact",9,0,"1. Control",0,1,"NATIVE",15.843
