"field","exp","plot","year","disk","disk.trt","ntrt","trt","nadd","other.add","dur","duration","mass.above"
"A",1,18,1987,0,"Intact",8,"2. NPK+",27.2,1,6,"PERENNIAL",184.9
"A",1,18,1988,0,"Intact",8,"2. NPK+",27.2,1,7,"PERENNIAL",18.267
"A",1,18,1989,0,"Intact",8,"2. NPK+",27.2,1,8,"PERENNIAL",331.1
"A",1,18,1990,0,"Intact",8,"2. NPK+",27.2,1,9,"ANNUAL",1.293
"A",1,18,1990,0,"Intact",8,"2. NPK+",27.2,1,9,"PERENNIAL",117.77
"A",1,18,1991,0,"Intact",8,"2. NPK+",27.2,1,10,"PERENNIAL",428.071
"A",1,18,1992,0,"Intact",8,"2. NPK+",27.2,1,11,"ANNUAL",41.534
"A",1,18,1992,0,"Intact",8,"2. NPK+",27.2,1,11,"PERENNIAL",111.9
"A",1,18,1993,0,"Intact",8,"2. NPK+",27.2,1,12,"ANNUAL",1.1
"A",1,18,1993,0,"Intact",8,"2. NPK+",27.2,1,12,"BIENNIAL",30.066
"A",1,18,1993,0,"Intact",8,"2. NPK+",27.2,1,12,"PERENNIAL",288.433
"A",1,18,1994,0,"Intact",8,"2. NPK+",27.2,1,13,"PERENNIAL",172.711
"A",1,18,1995,0,"Intact",8,"2. NPK+",27.2,1,14,"PERENNIAL",316.637
"A",1,18,1995,0,"Intact",8,"2. NPK+",27.2,1,14,NA,0.003
"A",1,18,1996,0,"Intact",8,"2. NPK+",27.2,1,15,"PERENNIAL",289.82
"A",1,18,1997,0,"Intact",8,"2. NPK+",27.2,1,16,"PERENNIAL",4.367
"A",1,18,1998,0,"Intact",8,"2. NPK+",27.2,1,17,"ANNUAL",0.7
"A",1,18,1998,0,"Intact",8,"2. NPK+",27.2,1,17,"BIENNIAL",25.2
"A",1,18,1998,0,"Intact",8,"2. NPK+",27.2,1,17,"PERENNIAL",239.97
"A",1,18,1999,0,"Intact",8,"2. NPK+",27.2,1,18,"PERENNIAL",717.4
"A",1,18,2000,0,"Intact",8,"2. NPK+",27.2,1,19,"ANNUAL",6.014
"A",1,18,2000,0,"Intact",8,"2. NPK+",27.2,1,19,"PERENNIAL",199.97
"A",1,18,2001,0,"Intact",8,"2. NPK+",27.2,1,20,"ANNUAL",15.013
"A",1,18,2001,0,"Intact",8,"2. NPK+",27.2,1,20,"PERENNIAL",214.134
"A",1,18,2002,0,"Intact",8,"2. NPK+",27.2,1,21,"ANNUAL",7.367
"A",1,18,2002,0,"Intact",8,"2. NPK+",27.2,1,21,"BIENNIAL",28.8
"A",1,18,2002,0,"Intact",8,"2. NPK+",27.2,1,21,"PERENNIAL",206.036
"A",1,18,2003,0,"Intact",8,"2. NPK+",27.2,1,22,"PERENNIAL",101.134
"A",1,18,2004,0,"Intact",8,"2. NPK+",27.2,1,23,"ANNUAL",7.8334
"A",1,18,2004,0,"Intact",8,"2. NPK+",27.2,1,23,"BIENNIAL",2.1667
"A",1,18,2004,0,"Intact",8,"2. NPK+",27.2,1,23,"PERENNIAL",231.3337
"A",1,20,1982,0,"Intact",9,"1. Control",0,0,1,"ANNUAL",11.11
"A",1,20,1982,0,"Intact",9,"1. Control",0,0,1,"BIENNIAL",11.133
"A",1,20,1982,0,"Intact",9,"1. Control",0,0,1,"PERENNIAL",62.027
"A",1,20,1983,0,"Intact",9,"1. Control",0,0,2,"ANNUAL",4.383
"A",1,20,1983,0,"Intact",9,"1. Control",0,0,2,"BIENNIAL",10.867
"A",1,20,1983,0,"Intact",9,"1. Control",0,0,2,"PERENNIAL",82.567
"A",1,20,1984,0,"Intact",9,"1. Control",0,0,3,"ANNUAL",2.32
"A",1,20,1984,0,"Intact",9,"1. Control",0,0,3,"BIENNIAL",6.777
"A",1,20,1984,0,"Intact",9,"1. Control",0,0,3,"PERENNIAL",92.78
"A",1,20,1985,0,"Intact",9,"1. Control",0,0,4,"ANNUAL",0.773
"A",1,20,1985,0,"Intact",9,"1. Control",0,0,4,"BIENNIAL",0.783
"A",1,20,1985,0,"Intact",9,"1. Control",0,0,4,"PERENNIAL",99.746
"A",1,20,1986,0,"Intact",9,"1. Control",0,0,5,"ANNUAL",3.444
"A",1,20,1986,0,"Intact",9,"1. Control",0,0,5,"BIENNIAL",15.433
"A",1,20,1986,0,"Intact",9,"1. Control",0,0,5,"PERENNIAL",117.731
"A",1,20,1987,0,"Intact",9,"1. Control",0,0,6,"ANNUAL",1.624
"A",1,20,1987,0,"Intact",9,"1. Control",0,0,6,"BIENNIAL",2.89
"A",1,20,1987,0,"Intact",9,"1. Control",0,0,6,"PERENNIAL",83.696
"A",1,20,1988,0,"Intact",9,"1. Control",0,0,7,"ANNUAL",0.033
"A",1,20,1988,0,"Intact",9,"1. Control",0,0,7,"BIENNIAL",1.033
"A",1,20,1988,0,"Intact",9,"1. Control",0,0,7,"PERENNIAL",42.3
"A",1,20,1989,0,"Intact",9,"1. Control",0,0,8,"BIENNIAL",0.333
"A",1,20,1989,0,"Intact",9,"1. Control",0,0,8,"PERENNIAL",127.566
"A",1,20,1990,0,"Intact",9,"1. Control",0,0,9,"ANNUAL",2.479
"A",1,20,1990,0,"Intact",9,"1. Control",0,0,9,"BIENNIAL",1.183
"A",1,20,1990,0,"Intact",9,"1. Control",0,0,9,"PERENNIAL",27.356
"A",1,20,1991,0,"Intact",9,"1. Control",0,0,10,"ANNUAL",2.434
"A",1,20,1991,0,"Intact",9,"1. Control",0,0,10,"BIENNIAL",6.967
"A",1,20,1991,0,"Intact",9,"1. Control",0,0,10,"PERENNIAL",113.9
"A",1,20,1992,0,"Intact",9,"1. Control",0,0,11,"ANNUAL",1.5
"A",1,20,1992,0,"Intact",9,"1. Control",0,0,11,"BIENNIAL",1.934
"A",1,20,1992,0,"Intact",9,"1. Control",0,0,11,"PERENNIAL",90.333
"A",1,20,1993,0,"Intact",9,"1. Control",0,0,12,"ANNUAL",1.453
